,funds_rate,oil_price,CPI,GS3,unemployment_rate,GDP,economic_growth_rate
1994-10-01,4.76,17.716190476190476,2.60809883321896,7.04,5.8,7413.883666666667,0.5616066381648795
1994-11-01,5.294666666666667,18.069090909090907,2.67489711934154,7.44,5.6,7455.288,0.5584702322682737
1994-12-01,5.453225806451614,17.178409090909092,2.67489711934154,7.71,5.5,7477.621666666666,0.29956812757154966
1995-01-01,5.52741935483871,18.016363636363636,2.80437756497949,7.66,5.6,7499.955333333333,0.29867339726781233
1995-02-01,5.915357142857142,18.5855,2.86298568507159,7.25,5.4,7522.289,0.297783995691349
1995-03-01,5.976451612903226,18.539130434782606,2.85326086956522,6.89,5.4,7541.858333333334,0.26015130943963755
1995-04-01,6.047333333333333,19.8675,3.05291723202172,6.68,5.8,7561.4276666666665,0.2594762785034136
1995-05-01,6.009032258064516,19.699130434782607,3.1864406779661,6.27,5.6,7580.997,0.258804741591354
1995-06-01,6.001333333333333,18.44590909090909,3.04054054054055,5.8,5.6,7615.039666666667,0.44905263340252294
1995-07-01,5.851935483870967,17.322857142857142,2.76280323450136,5.89,5.7,7649.082333333334,0.44704516531518845
1995-08-01,5.735161290322581,18.020869565217392,2.61744966442954,6.1,5.7,7683.125,0.4450555659247438
1995-09-01,5.804666666666666,18.233214285714286,2.54350736278447,5.89,5.6,7712.945333333333,0.3881276607283249
1995-10-01,5.756129032258064,17.43318181818182,2.80936454849497,5.77,5.5,7742.765666666667,0.3866270541871772
1995-11-01,5.803,17.99881818181818,2.60521042084169,5.57,5.6,7772.586,0.3851380064582407
1995-12-01,5.601935483870967,19.035595238095237,2.53841015364063,5.39,5.6,7804.546666666667,0.41119733723971447
1996-01-01,5.564838709677419,18.893804347826087,2.72787757817697,5.2,5.6,7836.507333333333,0.40951342892432696
1996-02-01,5.224482758620689,19.16488095238095,2.65076209410206,5.14,5.5,7868.468,0.4078432560219664
1996-03-01,5.314193548387097,21.33238095238095,2.84015852047556,5.79,5.5,7923.258666666667,0.6963320771802944
1996-04-01,5.223666666666667,23.466136363636362,2.89664252797894,6.11,5.6,7978.049333333333,0.6915168237176501
1996-05-01,5.235161290322581,21.167826086956524,2.89093298291722,6.27,5.6,8032.84,0.6867677094668266
1996-06-01,5.2733333333333325,20.4235,2.75409836065573,6.49,5.3,8065.696,0.4090209689225699
1996-07-01,5.396451612903226,21.311521739130434,2.95081967213114,6.45,5.5,8098.552000000001,0.40735480236300353
1996-08-01,5.222903225806451,21.903181818181817,2.87769784172662,6.21,5.1,8131.408,0.40570215515069563
1996-09-01,5.299,23.928809523809523,3.00261096605744,6.41,5.2,8174.195666666667,0.5262024321823117
1996-10-01,5.2380645161290325,24.87913043478261,2.99284320104101,6.08,5.2,8216.983333333334,0.5234480358862564
1996-11-01,5.311000000000001,23.704761904761906,3.25520833333334,5.82,5.4,8259.771,0.5207223251030941
1996-12-01,5.2945161290322575,25.22159090909091,3.32247557003257,5.91,5.4,8294.065666666667,0.41520118011342766
1997-01-01,5.2545161290322575,25.157608695652176,3.0440414507772,6.16,5.3,8328.360333333334,0.41348438805464005
1997-02-01,5.185714285714285,22.19125,3.03421562298256,6.03,5.2,8362.655,0.41178173486809994
1997-03-01,5.386129032258064,20.948214285714286,2.7617212588311,6.38,5.2,8414.711666666668,0.6224897077144435
1997-04-01,5.507333333333333,19.695454545454545,2.49520153550862,6.61,5.1,8466.768333333333,0.6186387451976327
1997-05-01,5.5041935483870965,20.821590909090908,2.23499361430395,6.42,4.9,8518.825,0.6148351368221834
1997-06-01,5.555666666666666,19.26,2.29738353541801,6.24,5.0,8566.824333333334,0.5634501628256618
1997-07-01,5.521290322580645,19.656195652173913,2.22929936305732,6.0,4.9,8614.823666666667,0.5602931899346739
1997-08-01,5.542258064516129,19.95285714285714,2.22504767959313,6.06,4.8,8662.823,0.5571713965435763
1997-09-01,5.540666666666667,19.799204545454543,2.15462610899872,5.98,4.9,8697.184333333333,0.39665283861083583
1997-10-01,5.4961290322580645,21.32521739130435,2.08464939987364,5.84,4.7,8731.545666666667,0.39508571988797514
1997-11-01,5.5216666666666665,20.0764,1.82849936948297,5.76,4.6,8765.907,0.3935309353590092
1997-12-01,5.504838709677419,18.33021739130435,1.70239596469106,5.74,4.7,8799.431333333332,0.38243998405792845
1998-01-01,5.55741935483871,16.747840909090908,1.5713387806411,5.38,4.6,8832.955666666667,0.3809829529135632
1998-02-01,5.505714285714285,16.043875,1.44110275689222,5.43,4.6,8866.48,0.3795369817132125
1998-03-01,5.493548387096775,15.115454545454547,1.37499999999999,5.57,4.7,8900.886333333334,0.38804952284710803
1998-04-01,5.445333333333334,15.3625,1.43570536828965,5.58,4.3,8935.292666666666,0.3865495192819461
1998-05-01,5.488709677419355,14.912261904761905,1.68644597126797,5.61,4.4,8969.699,0.38506106757630837
1998-06-01,5.558666666666666,13.72181818181818,1.68434185901434,5.52,4.5,9020.165,0.5626275753511946
1998-07-01,5.5358064516129035,14.182717391304347,1.6822429906542,5.47,4.5,9070.631,0.5594797877865707
1998-08-01,5.546774193548386,13.47190476190476,1.61691542288557,5.24,4.5,9121.097,0.5563670267261489
1998-09-01,5.511666666666667,15.002840909090908,1.48883374689826,4.62,4.6,9178.728333333333,0.6318465129066472
1998-10-01,5.070967741935483,14.460909090909091,1.4851485148515,4.18,4.5,9236.359666666667,0.627879279573419
1998-11-01,4.826,12.812666666666665,1.54798761609908,4.57,4.4,9293.991,0.6239615542616859
1998-12-01,4.683548387096774,11.339565217391305,1.61190328580284,4.48,4.4,9333.221333333333,0.42210427504538106
1999-01-01,4.6325806451612905,12.482857142857142,1.67079207920794,4.61,4.3,9372.451666666668,0.42033004396054313
1999-02-01,4.764642857142857,11.9885,1.6059295861643,4.9,4.4,9411.682,0.4185706656973918
1999-03-01,4.809354838709678,14.676521739130434,1.72626387176327,5.11,4.2,9449.858,0.40562356441706676
1999-04-01,4.7363333333333335,17.28556818181818,2.27692307692307,5.03,4.3,9488.034,0.40398490643985846
1999-05-01,4.742258064516129,17.657857142857143,2.08845208845208,5.33,4.2,9526.21,0.4023594350526092
1999-06-01,4.764666666666667,17.923181818181817,1.96319018404907,5.7,4.3,9579.681999999999,0.5613145206750613
1999-07-01,4.994193548387097,20.087727272727275,2.14460784313725,5.62,4.3,9633.154,0.5581813676069997
1999-08-01,5.072258064516129,21.278636363636362,2.26438188494492,5.77,4.2,9686.626,0.5550829977388481
1999-09-01,5.224333333333333,23.734772727272727,2.62836185819072,5.75,4.2,9757.807,0.7348379095053376
1999-10-01,5.199999999999999,22.69142857142857,2.56097560975609,5.94,4.1,9828.988,0.7294774327879069
1999-11-01,5.42,25.103181818181817,2.62195121951219,5.92,4.1,9900.169,0.7241945966359965
1999-12-01,5.295806451612902,26.080652173913045,2.68456375838926,6.14,4.0,9934.172333333334,0.3434621503262622
2000-01-01,5.448387096774193,27.250833333333336,2.73889227023737,6.49,4.0,9968.175666666666,0.3422865256649181
2000-02-01,5.7348275862068965,29.377142857142854,3.22188449848025,6.65,4.1,10002.179,0.3411189215599432
2000-03-01,5.853548387096774,29.84173913043478,3.75757575757575,6.53,4.0,10084.026,0.8182916942398227
2000-04-01,6.019666666666667,25.802,3.06859205776174,6.36,3.8,10165.873,0.8116500294624365
2000-05-01,6.268064516129033,28.849999999999998,3.18892900120338,6.77,4.0,10247.72,0.8051153108050805
2000-06-01,6.528333333333333,31.82227272727273,3.73044524669075,6.43,4.0,10271.201666666666,0.22914040066147953
2000-07-01,6.5445161290322575,29.846095238095238,3.65926814637075,6.28,4.0,10294.683333333334,0.2286165477879176
2000-08-01,6.496774193548387,31.26391304347826,3.41113105924597,6.17,4.1,10318.165,0.2280950846796314
2000-09-01,6.5169999999999995,33.87976190476191,3.45443716497914,6.02,3.9,10357.358,0.3798446719935114
2000-10-01,6.509354838709677,33.108636363636364,3.44827586206897,5.85,3.9,10396.551000000001,0.3784073119805371
2000-11-01,6.514333333333334,34.49181818181818,3.44622697563873,5.79,3.9,10435.744,0.3769807891097663
2000-12-01,6.402258064516129,28.35809523809524,3.38680926916221,5.26,3.9,10447.239666666666,0.11015665645559898
2001-01-01,5.975806451612903,29.504673913043476,3.73222748815164,4.77,4.2,10458.735333333334,0.11003544508839101
2001-02-01,5.494285714285715,29.566750000000003,3.53356890459364,4.71,4.2,10470.231,0.10991450017888507
2001-03-01,5.3109677419354835,27.244545454545456,2.92056074766355,4.43,4.3,10513.154,0.40995275080368987
2001-04-01,4.8020000000000005,27.55071428571428,3.26911850554583,4.42,4.4,10556.077,0.4082789998129854
2001-05-01,4.21225806451613,28.627391304347825,3.61516034985422,4.51,4.3,10599.0,0.406618860396724
2001-06-01,3.969666666666667,27.59904761904762,3.24825986078885,4.35,4.5,10598.673333333334,-0.00308205176588277
2001-07-01,3.769032258064516,26.436136363636365,2.7199074074074,4.31,4.6,10598.346666666666,-0.003082146759258553
2001-08-01,3.6525806451612906,27.37391304347826,2.7199074074074,4.04,4.9,10598.02,-0.003082241758455861
2001-09-01,3.069,26.232875,2.64824409902132,3.45,5.0,10618.835000000001,0.19640461142742238
2001-10-01,2.485161290322581,22.169565217391302,2.12643678160919,3.14,5.3,10639.65,0.19601961985470806
2001-11-01,2.087,19.529363636363637,1.89546237794372,3.22,5.5,10660.465,0.19563613464729113
2001-12-01,1.817741935483871,19.515142857142855,1.55172413793103,3.62,5.7,10701.476666666667,0.38470804666276026
2002-01-01,1.7296774193548385,19.688260869565216,1.14220445459737,3.56,5.7,10742.488333333333,0.3832337157208404
2002-02-01,1.7396428571428573,20.73475,1.13765642775882,3.55,5.7,10783.5,0.38177064190435606
2002-03-01,1.73,24.618214285714284,1.47559591373441,4.14,5.7,10818.153333333334,0.3213551567981977
2002-04-01,1.7530000000000001,26.179090909090913,1.63934426229508,4.01,5.9,10852.806666666665,0.3203257734067844
2002-05-01,1.751290322580645,26.97358695652174,1.1817670230726,3.8,5.8,10887.46,0.3193029637187583
2002-06-01,1.7503333333333333,25.5185,1.06741573033709,3.49,5.8,10919.653333333334,0.295691863238391
2002-07-01,1.729032258064516,26.935739130434786,1.46478873239436,3.01,5.8,10951.846666666666,0.2948201041791257
2002-08-01,1.7432258064516128,28.385,1.80281690140844,2.52,5.7,10984.04,0.2939534702519075
2002-09-01,1.7506666666666668,29.587261904761903,1.51430173864273,2.32,5.7,11009.837666666668,0.23486501020268755
2002-10-01,1.7548387096774194,28.836521739130436,2.02588632526732,2.25,5.7,11035.635333333334,0.23431468698916746
2002-11-01,1.3359999999999999,26.412857142857142,2.19842164599775,2.32,5.9,11061.433,0.23376693672311705
2002-12-01,1.2383870967741937,29.593181818181815,2.37691001697794,2.23,6.0,11098.998333333335,0.3396063903594942
2003-01-01,1.2351612903225806,32.95282608695652,2.5974025974026,2.18,5.8,11136.563666666667,0.33845696886459653
2003-02-01,1.2621428571428572,35.877625,2.98087739032619,2.05,5.9,11174.129,0.3373153017188987
2003-03-01,1.2529032258064516,33.513333333333335,3.0201342281879,1.98,5.9,11220.341333333334,0.4135654182382621
2003-04-01,1.258,28.265681818181818,2.22469410456062,2.06,6.0,11266.553666666667,0.41186209902586085
2003-05-01,1.2590322580645161,28.165681818181817,2.05784204671857,1.75,6.1,11312.766,0.4101727529160686
2003-06-01,1.2226666666666666,30.66238095238095,2.11228460255697,1.51,6.3,11397.400333333333,0.7481312115298188
2003-07-01,1.011290322580645,30.735326086956523,2.10993892282067,1.93,6.2,11482.034666666666,0.7425757704220336
2003-08-01,1.0290322580645161,31.573809523809523,2.15827338129497,2.44,6.1,11566.669,0.7371022278745958
2003-09-01,1.01,28.393522727272728,2.32044198895027,2.23,6.1,11635.190666666667,0.5924062205520659
2003-10-01,1.01,30.338260869565215,2.04081632653061,2.26,6.0,11703.712333333333,0.5889174370212208
2003-11-01,0.996,31.0173,1.7650303364589,2.45,5.8,11772.234,0.5854695050177451
2003-12-01,0.9841935483870967,32.191391304347825,1.87949143173024,2.44,5.7,11822.638333333334,0.42816285620328176
2004-01-01,0.9970967741935484,34.253522727272724,1.92625206384149,2.27,5.7,11873.042666666666,0.4263374376531468
2004-02-01,1.007241379310345,34.69925,1.69306389950846,2.25,5.6,11923.447,0.42452751791116716
2004-03-01,1.0016129032258065,36.74130434782609,1.73724212812162,2.0,5.8,11986.569666666666,0.5293994821016623
2004-04-01,1.004,36.775113636363635,2.28509249183896,2.57,5.6,12049.692333333334,0.526611603002694
2004-05-01,1.0045161290322582,40.34392857142857,3.05177111716622,3.1,5.6,12112.815,0.5238529326765343
2004-06-01,1.0256666666666667,38.034659090909095,3.26619488296135,3.26,5.6,12176.979000000001,0.5297199701308132
2004-07-01,1.2635483870967743,40.70920454545455,2.99075584556824,3.05,5.5,12241.143,0.5269287234543054
2004-08-01,1.4293548387096775,44.90318181818182,2.65438786565547,2.88,5.4,12305.307,0.5241667383511546
2004-09-01,1.605,45.81909090909091,2.53779697624191,2.83,5.4,12379.276,0.60111462477124
2004-10-01,1.7609677419354839,53.28047619047619,3.18918918918919,2.85,5.5,12453.245,0.5975228276677971
2004-11-01,1.932,48.545545454545454,3.52303523035231,3.09,5.4,12527.214,0.5939736992245727
2004-12-01,2.1561290322580646,43.09380434782609,3.25556158437331,3.21,5.4,12607.238,0.6388012530160292
2005-01-01,2.2793548387096774,46.913690476190474,2.96976241900649,3.39,5.3,12687.262,0.6347464845194583
2005-02-01,2.501785714285714,48.259625,3.0075187969925,3.54,5.4,12767.286,0.6307428663489366
2005-03-01,2.629032258064516,54.039130434782614,3.14834578441835,3.91,5.2,12819.076000000001,0.40564611774186676
2005-04-01,2.7849999999999997,52.97904761904762,3.51063829787233,3.79,5.2,12870.866,0.4040072779036418
2005-05-01,3.00258064516129,49.93102272727273,2.80274986779483,3.72,5.1,12922.656,0.40238162684625006
2005-06-01,3.0356666666666663,56.35227272727273,2.53031101739589,3.69,5.0,12995.984666666667,0.5674426887682092
2005-07-01,3.2625806451612904,59.022380952380956,3.16789862724393,3.91,5.0,13069.313333333334,0.5642409447800183
2005-08-01,3.4996774193548386,64.98521739130435,3.64116094986808,4.08,4.9,13142.642,0.5610751291702624
2005-09-01,3.6229999999999998,65.61,4.68667719852555,3.96,5.0,13203.162666666667,0.4604908713686886
2005-10-01,3.7793548387096774,62.260000000000005,4.34782608695652,4.29,5.0,13263.683333333332,0.4583800729764451
2005-11-01,3.999,58.298,3.45549738219894,4.43,5.0,13324.204,0.4562885372464454
2005-12-01,4.1570967741935485,59.35409090909091,3.41565948502364,4.39,4.9,13415.856,0.687860978411919
2006-01-01,4.285161290322581,65.36511363636363,3.98531725222863,4.35,4.7,13507.508,0.6831617751412958
2006-02-01,4.491428571428572,61.591874999999995,3.59749739311782,4.64,4.8,13599.16,0.6785263425348336
2006-03-01,4.589354838709677,62.68521739130435,3.3626487325401,4.74,4.7,13650.581333333334,0.378121393772363
2006-04-01,4.790333333333334,69.457625,3.54573484069888,4.89,4.7,13702.002666666667,0.37669702174344766
2006-05-01,4.940322580645161,70.88239130434783,4.16666666666665,4.97,4.6,13753.424,0.37528334057639706
2006-06-01,4.991,70.9509090909091,4.31876606683804,5.09,4.6,13792.345333333335,0.282993771829718
2006-07-01,5.235161290322581,74.45019047619047,4.1453428863869,5.07,4.7,13831.266666666666,0.2821951770542374
2006-08-01,5.2464516129032255,73.04304347826087,3.81873727087576,4.85,4.7,13870.188,0.28140107678737797
2006-09-01,5.254666666666666,64.03785714285715,2.06237424547282,4.69,4.5,13926.645333333334,0.407040865872429
2006-10-01,5.245161290322581,58.89318181818182,1.30522088353415,4.72,4.4,13983.102666666666,0.40539075981350414
2006-11-01,5.245666666666667,59.001,1.97368421052632,4.64,4.5,14039.56,0.40375397849232986
2006-12-01,5.2380645161290325,61.92547619047619,2.54065040650407,4.58,4.4,14098.257,0.4180829028829972
2007-01-01,5.248387096774193,54.65576086956521,2.07564296520424,4.79,4.6,14156.954,0.4163422471302667
2007-02-01,5.258928571428571,59.24425,2.41519879214898,4.75,4.5,14215.651,0.4146160254529337
2007-03-01,5.256774193548387,60.441818181818185,2.77877877877878,4.51,4.4,14277.794666666667,0.4371496364582025
2007-04-01,5.249666666666667,63.95773809523809,2.57369727047146,4.6,4.5,14339.938333333334,0.4352469559724735
2007-05-01,5.2535483870967745,63.458260869565216,2.69086419753088,4.69,4.4,14402.082,0.4333607664282157
2007-06-01,5.2540000000000004,67.48904761904762,2.68703794972894,5.0,4.6,14456.093666666668,0.37502679589428267
2007-07-01,5.258387096774193,74.00363636363636,2.35823095823096,4.82,4.7,14510.105333333333,0.3736255997787789
2007-08-01,5.022258064516129,72.35608695652174,1.97008337420303,4.34,4.6,14564.117,0.3722348351434014
2007-09-01,4.938,79.658875,2.75505174963037,4.06,4.7,14614.430666666667,0.3454632139158653
2007-10-01,4.755483870967741,85.7986956521739,3.53617443012883,4.01,4.7,14664.744333333334,0.34427387432494966
2007-11-01,4.486666666666666,94.9375,4.30620347394541,3.35,4.7,14715.058,0.3430926958085636
2007-12-01,4.244516129032259,91.84214285714286,4.0812685827552,3.13,5.0,14712.218,-0.019299957907064624
2008-01-01,3.9403225806451614,93.04532608695652,4.28029404790135,2.51,5.0,14709.378,-0.019303683509856537
2008-02-01,2.9806896551724136,95.55261904761905,4.02655541304871,2.19,4.9,14706.538,-0.019307410551283308
2008-03-01,2.6103225806451613,105.30630952380952,3.98145623125168,1.8,5.1,14759.592333333334,0.36075338283784725
